Player,Position,Team,Current_FPL_Price,Total_FPL_Points,Points_Per_Game,Event_Points,Form,Value_Form,EP_Next,ICT_Index,BPS,Penalties,Direct_Free_Kicks,Corners_Indirect_Free_Kicks,Chance_Of_Playing,Availability,News,Selected_By_Percent,Transfer_In,Transfer_In_Event,Transfer_Out,Transfer_Out_Event,Minutes,Goals_Scored,Assists,Clean_Sheets,Goals_Conceded,Goals_Conceded_Per_90,Own_Goals,Penalties_Saved,Penalties_Missed,Yellow_Cards,Red_Cards,Saves,Bonus,Influence,Creativity,Threat,In_Dreamteam,News_Added,ID,Fetched_From_FPL_London_Time
Onana,Goalkeeper,Man Utd,5.1,53,4.8,9,3.5,0.7,3.5,27.6,192,,,,100,Available,,8.6,607466,57012,399493,9040,990,0,0,5,12,1.09,0,1,0,0,0,28,5,262.8,13,0,1,,383,"Mon Nov 18, 13:15:02"
B.Fernandes,Midfielder,Man Utd,8.4,50,4.5,17,8.5,1,8.5,79,223,1,1,2,100,Available,,12.2,897644,268444,1585700,8297,929,2,4,5,11,1.07,0,0,0,1,1,0,6,268.6,327.9,196,,"Sun Sep 29, 21:00",366,"Mon Nov 18, 13:15:02"
Garnacho,Forward,Man Utd,6.4,40,3.6,6,5,0.8,5,65.4,130,,,,100,Available,,11.7,949378,69737,1481700,31926,712,3,1,2,11,1.39,0,0,0,1,0,0,3,186.6,147,323,,"Mon Oct 7, 15:30",372,"Mon Nov 18, 13:15:02"
Dalot,Defender,Man Utd,5.2,39,3.5,1,1,0.2,1,37,167,,,,100,Available,,11.2,998994,33163,721188,38765,956,0,1,4,12,1.13,0,0,0,3,0,0,6,188.6,138.5,44,,,369,"Mon Nov 18, 13:15:02"
Mazraoui,Defender,Man Utd,4.6,39,3.5,8,3.2,0.7,3.2,34,171,,,,100,Available,,14.4,2110780,123996,1124325,10723,822,0,1,4,10,1.09,0,0,0,1,0,0,4,208.6,79.6,52,,"Sun Oct 27, 22:30",594,"Mon Nov 18, 13:15:02"
De Ligt,Defender,Man Utd,5,35,3.2,6,2.5,0.5,2.5,36.1,134,,,,100,Available,,5,424922,25682,414263,10025,759,1,0,3,11,1.3,0,0,0,2,0,0,3,180.6,30.7,147,,,593,"Mon Nov 18, 13:15:02"
Rashford,Forward,Man Utd,6.9,30,2.7,1,2.5,0.4,2.5,44.9,107,3,2,,100,Available,,3.3,342477,8150,491661,18454,756,1,1,4,7,0.83,0,0,0,2,0,0,1,124.4,192.5,131,,,385,"Mon Nov 18, 13:15:02"
Martinez,Defender,Man Utd,4.4,29,2.9,6,2.5,0.6,1.9,30.4,138,,,,75,Doubtful,Knock - 75% chance of playing,4.3,241678,9531,364905,8426,886,0,0,4,12,1.22,0,0,0,4,0,0,1,172,50.9,81,,"Wed Nov 13, 14:30",380,"Mon Nov 18, 13:15:02"
Amad,Midfielder,Man Utd,4.9,27,3,6,1.8,0.4,1.8,49,114,,,3,100,Available,,2.7,520943,26233,600349,7882,478,1,2,4,4,0.75,0,0,0,2,0,0,0,141.8,198.2,149,,"Fri Nov 8, 18:30",364,"Mon Nov 18, 13:15:02"
Casemiro,Midfielder,Man Utd,4.8,25,2.5,3,4,0.8,3,50.6,148,,,,75,Doubtful,Knock - 75% chance of playing,0.8,98596,4707,82458,6180,623,1,0,2,10,1.44,0,0,0,1,0,0,3,198.2,189.2,118,,"Sun Nov 10, 23:00",368,"Mon Nov 18, 13:15:02"
Zirkzee,Forward,Man Utd,6.6,23,2.1,1,1.8,0.3,1.8,34,80,,,,100,Available,,1.7,408185,913,537448,6560,428,1,1,2,6,1.26,0,0,0,1,0,0,3,90.6,85.5,163,,,389,"Mon Nov 18, 13:15:02"
Højlund,Forward,Man Utd,6.9,21,3,2,4.2,0.6,4.2,18,70,,,,100,Available,,1.7,188371,11785,93340,11840,414,1,1,2,5,1.09,0,0,0,0,0,0,2,52,62.7,68,,"Mon Aug 5, 15:00",375,"Mon Nov 18, 13:15:02"
Eriksen,Midfielder,Man Utd,5.4,14,1.8,1,1.2,0.2,1.2,30.8,87,,4,1,100,Available,,0.2,18912,625,25662,916,438,0,0,3,3,0.62,0,0,0,2,0,0,0,69.6,219.5,19,,"Fri Nov 1, 10:30",370,"Mon Nov 18, 13:15:02"
